ID,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q87,Field,Hierarchy,Junior,Norms Prestige,Norms Less well know,Stealing Ideas,Zero Sum,Seminar,Conferences,Collaborate,Cooperate,important_materials,important_manuscripts,plan_data,plan_code,plan_MS,plan_instrument,other_MS_require,other_MS_prestige,other_MS_cooper,other_MS_public,other_MS_lab,other_materials_require,other_materials_prestige,other_materials_cooper,other_materials_public,other_materials_lab,self_MS_require,self_MS_prestige,self_MS_cooper,self_MS_public,self_MS_lab,self_materials_require,self_materials_prestige,self_materials_cooper,self_materials_public,self_materials_lab,Years,Identify,control_MS,control_materials,field_talking,formal_training,man_use_now,man_use_future
503,7/12/22 11:12,7/12/22 11:20,0,18.29.11.64,100,488,1,7/12/22 11:20,R_1jICI1EAAGw77TV,,,,,42.3649,-71.0987,anonymous,EN,1,biomedical science,4,2,3,2,3,3,4,3,5,5,5,4,5,5,4,5,4,5,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,15,2,4,4,3,1,1,1
320,6/16/22 9:02,6/16/22 9:17,0,24.61.184.187,100,905,1,6/16/22 9:17,R_2wcpcMPDrJVZiZ2,,,,,42.3737,-71.1284,anonymous,EN,1,chemistry/materials science/optical materials/nanoscience/energy,2,1,3,4,3,2,2,2,4,5,5,5,4,4,4,,666,666,4,1,,666,666,4,1,,1,2,4,1,,1,2,4,1,,40,5,4,4,4,2,,
123,6/9/22 8:30,6/9/22 8:41,0,18.4.16.184,100,709,1,6/9/22 8:41,R_1OPibM1OFbdGA3X,,,,,42.3649,-71.0987,anonymous,EN,1,Neuroscience,5,4,4,5,4,4,5,2,2,4,5,5,4,5,5,5,5,3,3,1,2,5,3,2,1,666,3,1,4,4,2,4,2,5,2,2,12,4,3,2,3,2,1,2
342,6/16/22 9:54,6/16/22 10:02,0,18.31.18.13,100,509,1,6/16/22 10:02,R_1reJLSkh10JaCxD,,,,,42.3649,-71.0987,anonymous,EN,1,Biology,4,2,4,4,4,1,4,1,2,2,5,3,4,4,2,,666,2,2,,,4,4,4,4,4,4,3,4,3,,3,3,4,3,,50,4,4,4,2,2,20,
70,6/9/22 7:20,6/9/22 7:27,0,73.126.94.58,100,421,1,6/9/22 7:27,R_3CK28lB9ToPeSoj,,,,,42.2803,-71.25,anonymous,EN,1,Biology,3,2,3,4,5,1,3,1,3,5,5,2,5,,3,,4,1,5,1,,5,1,3,1,3,,,,,,5,2,5,1,,52,5,5,5,3,2,20,2
323,6/16/22 9:14,6/16/22 9:20,0,18.29.9.151,100,381,1,6/16/22 9:20,R_4VMbFUcu9hJbuqB,,,,,42.3649,-71.0987,anonymous,EN,1,Marine Geochemistry,4,1,4,4,4,1,2,1,4,4,5,4,5,2,5,3,3,5,4,4,,4,5,4,4,,3,5,4,4,,5,5,5,4,,51,5,4,4,3,2,1,2
188,6/9/22 14:57,6/9/22 15:06,0,18.25.72.54,100,589,1,6/9/22 15:06,R_27HDtJcZhMpIIG0,,,,,42.3649,-71.0987,anonymous,EN,1,X-ray Astronomy,2,2,1,2,2,1,4,2,5,5,5,4,5,4,5,,5,3,4,2,,5,4,4,2,,5,5,4,2,,5,4,4,2,,50,5,4,4,3,2,1,1
21,6/9/22 6:52,6/9/22 6:58,0,173.48.170.237,100,384,1,6/9/22 6:58,R_YQbw69UpvZZMqK5,,,,,42.5511,-71.256,anonymous,EN,1,plasma physics,2,2,3,3,3,2,3,2,3,4,2,4,4,4,5,,3,4,4,3,3,5,2,3,1,3,2,3,4,1,3,5,1,2,1,2,48,3,5,2,1,2,20,2
283,6/16/22 8:22,6/16/22 8:28,0,198.125.179.211,100,392,1,6/16/22 8:28,R_3iUa6ULKwanaBW2,,,,,42.3737,-71.1284,anonymous,EN,1,Plasma physics,4,2,2,4,1,1,1,1,5,5,5,5,5,4,5,,5,4,4,2,,5,4,4,3,,5,4,4,2,,5,4,4,2,,48,4,1,1,3,1,1,2
390,6/17/22 10:02,6/17/22 10:14,0,80.187.97.254,100,714,1,6/17/22 10:14,R_2c6qtoP3d0DPA3A,,,,,48.767,9.1827,anonymous,EN,1,Physics,5,4,3,1,5,4,5,2,3,4,5,5,5,5,5,2,5,5,3,1,5,2,3,3,1,2,5,5,4,2,3,1,2,3,1,2,48,5,5,5,3,2,1,2
179,6/9/22 12:31,6/9/22 12:47,0,18.10.76.225,100,920,1,6/9/22 12:47,R_vDDxbAtFPEx0yQh,,,,,42.3649,-71.0987,anonymous,EN,1,chemistry,2,1,1,1,1,,2,3,1,1,5,3,5,,2,,666,666,666,666,,1,666,666,666,,1,1,5,5,,1,1,5,5,,47,5,5,5,2,2,20,2
492,7/12/22 9:59,7/12/22 10:09,0,73.159.226.98,100,623,1,7/12/22 10:09,R_1GtoaO7HI6wwBSp,,,,,42.2463,-70.9972,anonymous,EN,1,Plasma Physics - controlled fusion research,4,1,4,2,4,4,1,2,3,5,5,5,5,3,5,,5,5,5,5,666,5,5,5,5,666,5,5,5,5,5,5,5,5,5,5,46,5,2,1,5,2,1,1
359,6/16/22 11:24,6/16/22 11:39,0,108.26.222.107,100,864,1,6/16/22 11:39,R_1po1ZvzzLJmkKNV,,,,,42.3291,-71.1815,anonymous,EN,1,Physical chemistry,4,1,1,4,1,1,2,1,3,4,5,2,5,5,5,,1,4,4,4,,2,2,4,4,,1,3,5,4,,3,1,4,4,,45,4,4,4,3,2,1,2
212,6/13/22 2:25,6/13/22 2:38,0,96.237.100.254,100,821,1,6/13/22 2:38,R_1N8kkPSMqpVpRUL,,,,,42.4748,-71.4499,anonymous,EN,1,Gravitational Waves,4,1,4,4,2,2,2,1,5,5,5,5,5,5,4,5,3,4,5,3,,3,4,5,3,,3,5,5,3,,3,5,5,3,,43,5,3,3,4,2,1,2
373,6/16/22 15:45,6/16/22 16:00,0,98.176.41.98,100,893,1,6/16/22 16:00,R_1mPkRcoSAx5EWVd,,,,,32.7246,-117.2258,anonymous,EN,1,astrophysics,3,2,2,2,3,4,1,1,4,4,5,5,,2,5,,1,5,5,5,,5,5,666,666,,5,5,5,4,5,5,5,4,1,4,43,5,5,2,5,2,20,1
23,6/9/22 6:51,6/9/22 6:59,0,50.78.5.203,100,451,1,6/9/22 6:59,R_1CpWsrFCknxuOTn,,,,,42.3649,-71.0987,anonymous,EN,1,Physics,4,1,2,3,2,1,4,1,4,4,4,4,5,5,5,,3,5,3,3,5,3,5,3,4,5,3,5,4,4,5,3,4,4,4,4,42,4,4,4,4,2,20,2
201,6/9/22 6:51,6/10/22 8:33,0,73.100.19.215,100,92510,1,6/10/22 8:33,R_Zaj4qAWW0Qeh2DL,,,,,42.3208,-71.2353,anonymous,EN,1,Astrophysics,4,2,2,4,1,1,5,1,5,4,5,5,,5,5,,3,5,5,1,,3,5,5,1,,3,5,5,1,,3,5,5,1,,42,4,5,5,3,2,1,1
59,6/9/22 7:10,6/9/22 7:20,0,98.118.50.207,100,586,1,6/9/22 7:20,R_3jd3VSREF6LBaTX,,,,,42.2125,-70.9961,anonymous,EN,1,Physics,3,1,2,2,2,1,2,1,4,5,4,5,4,4,5,3,2,2,4,3,3,2,2,4,3,3,2,3,4,3,2,3,3,3,3,3,40,4,3,3,3,2,1,2
285,6/16/22 8:22,6/16/22 8:30,0,216.9.110.4,100,485,1,6/16/22 8:30,R_3DkdJBE7rv1oHCj,,,,,37.6844,-122.438,anonymous,EN,1,Physics,3,1,1,4,1,1,4,1,2,2,5,5,5,5,5,,1,1,3,3,2,1,1,5,5,3,1,1,5,4,3,1,3,4,4,3,40,5,4,4,3,2,1,2
385,6/16/22 20:16,6/16/22 20:22,0,73.119.194.67,100,378,1,6/16/22 20:22,R_3QVNrgO6AkAVFv9,,,,,42.3608,-71.2954,anonymous,EN,1,neuroscience and machine learning,4,1,1,5,1,1,1,1,4,4,5,5,5,5,5,,1,5,5,5,4,3,5,4,3,3,1,4,5,4,,3,4,5,4,,40,4,4,4,3,2,20,2
172,6/9/22 9:17,6/9/22 11:15,0,18.29.16.89,100,7052,1,6/9/22 11:15,R_1DXUlvpHljtp2gF,,,,,42.3649,-71.0987,anonymous,EN,1,Biology,4,4,4,5,2,4,4,2,4,4,5,4,4,4,4,,5,4,3,2,3,5,3,5,3,5,4,3,2,1,1,5,3,5,1,5,38,3,2,3,2,2,1,2
159,6/9/22 9:23,6/9/22 10:15,0,108.7.160.160,100,3099,1,6/9/22 10:15,R_2eRwvXKhnZQ0BgS,,,,,42.312,-71.1081,anonymous,EN,1,Biology,5,2,4,4,2,2,5,1,5,5,5,4,5,5,5,,4,2,3,2,4,2,3,3,2,4,3,2,3,2,4,2,1,4,2,5,37,5,5,5,4,2,20,2
493,7/12/22 10:03,7/12/22 10:15,0,18.31.1.91,100,693,1,7/12/22 10:15,R_3j6alZCWcHBkJxR,,,,,42.3649,-71.0987,anonymous,EN,1,"Biology, Biomedical",3,4,1,5,3,1,3,1,4,4,5,3,5,5,3,,2,666,4,4,,2,,4,4,,2,2,4,4,,2,2,4,4,,37,5,4,3,4,2,1,1
491,7/12/22 9:52,7/12/22 10:08,0,18.10.84.94,100,963,1,7/12/22 10:08,R_1mz7kSiOemdB5qJ,,,,,42.3649,-71.0987,anonymous,EN,1,Electrical Engineering,4,1,3,4,3,3,2,2,5,5,4,4,5,3,2,3,4,4,5,5,4,3,4,5,5,5,4,3,5,5,4,4,3,5,5,5,36,2,3,4,3,2,1,2
8,6/9/22 6:48,6/9/22 6:54,0,108.7.195.156,100,338,1,6/9/22 6:54,R_1mzagk7Vp5oehic,,,,,42.3935,-71.1836,anonymous,EN,1,cognitive science,5,1,2,4,2,1,3,1,5,5,5,5,5,5,5,5,2,2,5,3,,1,1,5,2,,1,1,5,3,,1,1,5,3,,35,5,5,5,4,1,1,1
170,6/9/22 10:29,6/9/22 10:59,0,18.29.9.205,100,1794,1,6/9/22 10:59,R_2E6HJw5XmYwEgxs,,,,,42.3649,-71.0987,anonymous,EN,1,Neuroscience,3,2,3,4,2,2,3,1,4,4,4,4,,,,,4,3,4,3,4,4,3,4,4,5,4,2,4,3,4,,,,,,35,4,4,2,2,2,20,2
351,6/16/22 10:24,6/16/22 10:37,0,18.18.82.44,100,784,1,6/16/22 10:37,R_3DhxCqDQrR43wIh,,,,,42.3649,-71.0987,anonymous,EN,1,material science,5,5,5,5,4,3,5,4,2,4,5,5,5,5,5,5,5,4,4,1,5,666,4,5,1,5,3,1,5,4,4,4,1,4,4,5,35,2,4,4,2,1,1,2
352,6/16/22 10:26,6/16/22 10:40,0,73.100.2.83,100,847,1,6/16/22 10:40,R_2frF7ngMQ8ZmdcR,,,,,42.3268,-71.1341,anonymous,EN,1,Biology,4,2,2,4,3,3,2,1,3,5,5,3,5,5,4,,3,4,3,2,,5,3,4,3,,4,4,4,2,,5,4,5,2,,35,5,4,5,3,2,20,2
138,6/9/22 9:00,6/9/22 9:08,0,73.149.187.136,100,456,1,6/9/22 9:08,R_2Xn6QDnapabL7yH,,,,,42.3737,-71.1284,anonymous,EN,1,Biology,4,2,4,4,3,2,5,1,4,5,4,3,5,,4,,3,3,4,2,5,4,3,5,2,5,4,3,5,2,4,4,3,5,2,5,34,4,2,2,4,2,1,1
224,6/15/22 13:54,6/15/22 14:06,0,146.115.147.3,100,716,1,6/15/22 14:06,R_3R3nlASeYmcGHGz,,,,,42.3559,-71.2083,anonymous,EN,1,chemistry,5,4,5,5,4,5,5,4,4,1,5,4,5,,5,,5,1,2,1,5,5,1,2,1,5,5,1,4,4,,5,1,5,5,,34,4,1,1,3,2,1,2
344,6/16/22 10:00,6/16/22 10:11,0,198.125.182.43,100,684,1,6/16/22 10:11,R_2tzEEeabEzl8vYJ,,,,,42.3935,-71.1836,anonymous,EN,1,Applied superconductivity ,4,1,4,3,2,1,3,1,5,5,4,5,4,,5,,4,5,4,5,4,3,5,5,5,4,5,3,4,4,4,,,,,,32,4,4,2,2,2,20,2
